ID,Location,Country,Flag,Time,PC_HEALTHXP,PC_GDP,USD_CAP,TOTAL_SPEND
37,AUS,Australia,https://flagicons.lipis.dev/flags/4x3/au.svg,1985,9.56,0.58,84.134,1325.78
105,BEL,Belgium,https://flagicons.lipis.dev/flags/4x3/be.svg,1985,15.684,1.074,149.946,1478.21
150,CAN,Canada,https://flagicons.lipis.dev/flags/4x3/ca.svg,1985,10.061,0.763,124.336,3225.52
185,CHE,Switzerland,https://flagicons.lipis.dev/flags/4x3/ch.svg,1985,11.592,0.808,171.227,1107.9
219,DEU,Germany,https://flagicons.lipis.dev/flags/4x3/de.svg,1985,14.302,1.213,200.236,15555.31
293,DNK,Denmark,https://flagicons.lipis.dev/flags/4x3/dk.svg,1985,6.864,0.546,79.733,407.73
300,ESP,Spain,https://flagicons.lipis.dev/flags/4x3/es.svg,1985,21.034,1.061,100.491,3865.84
384,FIN,Finland,https://flagicons.lipis.dev/flags/4x3/fi.svg,1985,10.174,0.677,90.468,443.49
413,FRA,France,https://flagicons.lipis.dev/flags/4x3/fr.svg,1985,16.577,1.267,167.728,9526.23
446,GBR,United Kingdom,https://flagicons.lipis.dev/flags/4x3/gb.svg,1985,15.008,0.771,94.335,5334.67
500,IRL,Ireland,https://flagicons.lipis.dev/flags/4x3/ie.svg,1985,10.539,0.72,66.917,236.76
575,ISL,Norway,https://flagicons.lipis.dev/flags/4x3/ic.svg,1985,17.414,1.168,200.058,48.3
645,JPN,Japan,https://flagicons.lipis.dev/flags/4x3/jp.svg,1985,17.973,1.163,155.171,18737.52
660,KOR,South Korea,https://flagicons.lipis.dev/flags/4x3/kr.svg,1985,21.788,0.723,32.732,1335.65
792,NLD,Netherlands,https://flagicons.lipis.dev/flags/4x3/nl.svg,1985,9.595,0.636,90.174,1306.77
829,NOR,Norway,https://flagicons.lipis.dev/flags/4x3/no.svg,1985,10.661,0.584,86.65,359.82
854,NZL,New Zealand,https://flagicons.lipis.dev/flags/4x3/ne.svg,1985,13.308,0.657,81.54,264.77
910,PRT,Portugal,https://flagicons.lipis.dev/flags/4x3/pt.svg,1985,25.954,1.393,106.172,1064.23
970,SWE,Sweden,https://flagicons.lipis.dev/flags/4x3/se.svg,1985,7.671,0.564,88.457,738.65
1012,TUR,Turkey,https://flagicons.lipis.dev/flags/4x3/tr.svg,1985,13.889,0.207,12.302,604.45
38,AUS,Australia,https://flagicons.lipis.dev/flags/4x3/au.svg,1986,9.568,0.599,89.94,1440.69
104,BEL,Belgium,https://flagicons.lipis.dev/flags/4x3/be.svg,1986,15.708,1.102,159.833,1576.24
151,CAN,Canada,https://flagicons.lipis.dev/flags/4x3/ca.svg,1986,10.756,0.842,141.554,3709.28
186,CHE,Switzerland,https://flagicons.lipis.dev/flags/4x3/ch.svg,1986,12.105,0.865,189.428,1232.06
218,DEU,Germany,https://flagicons.lipis.dev/flags/4x3/de.svg,1986,14.357,1.203,206.996,16087.82
268,DNK,Denmark,https://flagicons.lipis.dev/flags/4x3/dk.svg,1986,7.276,0.563,87.9,450.09
301,ESP,Spain,https://flagicons.lipis.dev/flags/4x3/es.svg,1986,19.646,0.983,97.807,3773.85
385,FIN,Finland,https://flagicons.lipis.dev/flags/4x3/fi.svg,1986,10.079,0.681,95.015,467.3
447,GBR,United Kingdom,https://flagicons.lipis.dev/flags/4x3/gb.svg,1986,15.07,0.772,99.163,5620.7
521,IRL,Ireland,https://flagicons.lipis.dev/flags/4x3/ie.svg,1986,11.044,0.744,70.226,248.58
584,ISL,Iceland,https://flagicons.lipis.dev/flags/4x3/ic.svg,1986,16.508,1.182,217.823,52.97
642,JPN,Japan,https://flagicons.lipis.dev/flags/4x3/jp.svg,1986,18.892,1.214,169.011,20533.48
659,KOR,South Korea,https://flagicons.lipis.dev/flags/4x3/kr.svg,1986,21.817,0.696,35.443,1460.74
793,NLD,Netherlands,https://flagicons.lipis.dev/flags/4x3/nl.svg,1986,9.969,0.67,98.99,1442.51
828,NOR,Norway,https://flagicons.lipis.dev/flags/4x3/no.svg,1986,10.51,0.622,97.607,406.76
855,NZL,New Zealand,https://flagicons.lipis.dev/flags/4x3/ne.svg,1986,14.491,0.73,95.976,311.57
922,PRT,Portugal,https://flagicons.lipis.dev/flags/4x3/pt.svg,1986,23.01,1.365,110.418,1107.79
971,SWE,Sweden,https://flagicons.lipis.dev/flags/4x3/se.svg,1986,7.933,0.565,92.603,775.07
1013,TUR,Turkey,https://flagicons.lipis.dev/flags/4x3/tr.svg,1986,12.403,0.228,14.455,724.61
39,AUS,Australia,https://flagicons.lipis.dev/flags/4x3/au.svg,1987,9.543,0.582,93.578,1521.94
107,BEL,Belgium,https://flagicons.lipis.dev/flags/4x3/be.svg,1987,15.952,1.136,172.74,1704.98
133,CAN,Canada,https://flagicons.lipis.dev/flags/4x3/ca.svg,1987,11.058,0.859,152.165,4039.98
183,CHE,Switzerland,https://flagicons.lipis.dev/flags/4x3/ch.svg,1987,10.344,0.76,172.362,1128.13
217,DEU,Germany,https://flagicons.lipis.dev/flags/4x3/de.svg,1987,14.592,1.237,221.093,17209.86
267,DNK,Denmark,https://flagicons.lipis.dev/flags/4x3/dk.svg,1987,6.888,0.555,88.986,456.23
302,ESP,Spain,https://flagicons.lipis.dev/flags/4x3/es.svg,1987,19.317,0.98,105.265,4072.16
386,FIN,Finland,https://flagicons.lipis.dev/flags/4x3/fi.svg,1987,10.069,0.694,102.609,506.08
434,GBR,United Kingdom,https://flagicons.lipis.dev/flags/4x3/gb.svg,1987,14.468,0.749,103.709,5890.88
520,IRL,Ireland,https://flagicons.lipis.dev/flags/4x3/ie.svg,1987,11.546,0.744,75.344,266.72
574,ISL,Iceland,https://flagicons.lipis.dev/flags/4x3/ic.svg,1987,15.35,1.125,228.429,56.16
628,JPN,Japan,https://flagicons.lipis.dev/flags/4x3/jp.svg,1987,20.271,1.305,192.985,23561.73
658,KOR,South Korea,https://flagicons.lipis.dev/flags/4x3/kr.svg,1987,21.843,0.679,39.471,1642.85
794,NLD,Netherlands,https://flagicons.lipis.dev/flags/4x3/nl.svg,1987,10.399,0.71,108.992,1598.37
827,NOR,Norway,https://flagicons.lipis.dev/flags/4x3/no.svg,1987,10.322,0.635,103.549,433.55
869,NZL,New Zealand,https://flagicons.lipis.dev/flags/4x3/ne.svg,1987,14.699,0.819,109.193,357.54
921,PRT,Portugal,https://flagicons.lipis.dev/flags/4x3/pt.svg,1987,25.339,1.462,129.032,1294.19
973,SWE,Sweden,https://flagicons.lipis.dev/flags/4x3/se.svg,1987,8.143,0.586,101.523,852.57
1014,TUR,Turkey,https://flagicons.lipis.dev/flags/4x3/tr.svg,1987,13.333,0.253,17.667,902.8
